saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel,year,month,year_month,revenue,cost,profit,margin_pct
S00001,2023-09-01 21:43:00,P1000,Women's_000,Women's Dresses,Red,XXL,2,1572.76,1154.01,3145.52,2308.02,C20000,Vishal_0000,Tiruchirappalli,10.7905,78.7047,SP114,Salesperson_14,Pending,online,2023,9,2023-09,3145.52,2308.02,837.5,0.266251684936036
S00002,2023-03-06 15:20:00,P1001,Women's_001,Women's Dresses,Maroon,XS,1,247.34,220.37,247.34,220.37,C20001,Sathish_0001,Erode,11.34,77.7172,SP102,Salesperson_2,Paid,online,2023,3,2023-03,247.34,220.37,26.97,0.10904018759602166
S00003,2024-06-25 12:10:00,P1002,Women's_002,Women's Dresses,Black,S,2,1620.21,1269.43,3240.42,2538.86,C20002,Anu_0002,Chennai,13.0827,80.2707,SP135,Salesperson_35,Pending,in-store,2024,6,2024-06,3240.42,2538.86,701.56,0.21650279901988012
S00004,2023-01-05 10:31:00,P1003,Kurta_003,Kurta,Black,L,4,520.84,358.15,2083.36,1432.6,C20003,Sathish_0003,Salem,11.6643,78.146,SP100,Salesperson_0,Pending,in-store,2023,1,2023-01,2083.36,1432.6,650.7600000000002,0.31236080178173725
S00005,2023-08-27 15:47:00,P1004,Kurta_004,Kurta,Yellow,M,1,1079.66,966.26,1079.66,966.26,C20004,Kavin_0004,Tiruchirappalli,10.7905,78.7047,SP148,Salesperson_48,Returned,in-store,2023,8,2023-08,1079.66,966.26,113.40000000000009,0.10503306596521135
S00006,2023-10-31 20:40:00,P1005,Women's_005,Women's Dresses,Blue,L,1,349.62,309.3,349.62,309.3,C20005,Diya_0005,Tirunelveli,8.7139,77.7567,SP122,Salesperson_22,Cancelled,mobile_app,2023,10,2023-10,349.62,309.3,40.31999999999999,0.1153252102282478
S00007,2024-09-19 19:18:00,P1006,T-Shirts_006,T-Shirts,Red,XXL,2,731.06,491.5,1462.12,983.0,C20006,Ravi_0006,Coimbatore,11.0168,76.9558,SP124,Salesperson_24,Paid,in-store,2024,9,2024-09,1462.12,983.0,479.1199999999999,0.3276885618143517
S00008,2024-03-20 17:49:00,P1007,T-Shirts_007,T-Shirts,Yellow,XL,1,2291.44,1552.76,2291.44,1552.76,C20007,Meena_0007,Coimbatore,11.0168,76.9558,SP102,Salesperson_2,Pending,in-store,2024,3,2024-03,2291.44,1552.76,738.6800000000001,0.3223649757357819
S00009,2024-03-06 13:31:00,P1008,T-Shirts_008,T-Shirts,Blue,S,1,1505.71,917.57,1505.71,917.57,C20008,Bhuvana_0008,Coimbatore,11.0168,76.9558,SP124,Salesperson_24,Returned,mobile_app,2024,3,2024-03,1505.71,917.57,588.14,0.39060642487597214
S00010,2024-07-01 15:23:00,P1009,Sportswear_009,Sportswear,Yellow,S,2,1575.17,1380.73,3150.34,2761.46,C20009,Karthik_0009,Tirunelveli,8.7139,77.7567,SP113,Salesperson_13,Returned,mobile_app,2024,7,2024-07,3150.34,2761.46,388.8800000000001,0.12344064450186332
S00011,2023-02-27 12:02:00,P1010,Women's_010,Women's Dresses,Green,XL,2,1093.96,745.43,2187.92,1490.86,C20010,Devi_0010,Tiruchirappalli,10.7905,78.7047,SP110,Salesperson_10,Shipped,in-store,2023,2,2023-02,2187.92,1490.86,697.0600000000002,0.3185948297926799
S00012,2024-06-22 14:16:00,P1011,Kurta_011,Kurta,White,XXL,2,834.8,575.08,1669.6,1150.16,C20011,Devi_0011,Tiruchirappalli,10.7905,78.7047,SP143,Salesperson_43,Returned,online,2024,6,2024-06,1669.6,1150.16,519.4399999999998,0.3111164350742692
S00013,2023-04-18 10:25:00,P1012,Men's_012,Men's Shirts,Black,XS,1,657.05,395.32,657.05,395.32,C20012,Sanjay_0012,Tirunelveli,8.7139,77.7567,SP125,Salesperson_25,Returned,in-store,2023,4,2023-04,657.05,395.32,261.72999999999996,0.398341069933795
S00014,2024-06-14 18:43:00,P1013,Women's_013,Women's Dresses,Black,XL,1,1593.71,1399.1,1593.71,1399.1,C20013,Ganesh_0013,Tirunelveli,8.7139,77.7567,SP113,Salesperson_13,Shipped,in-store,2024,6,2024-06,1593.71,1399.1,194.61000000000013,0.12211130004831501
S00015,2024-02-28 20:51:00,P1014,Kurta_014,Kurta,Grey,S,2,961.07,594.97,1922.14,1189.94,C20014,Vishal_0014,Madurai,9.9252,78.1198,SP115,Salesperson_15,Cancelled,in-store,2024,2,2024-02,1922.14,1189.94,732.2,0.38092958889571
S00016,2023-07-22 13:43:00,P1015,T-Shirts_015,T-Shirts,Pink,XL,3,2240.59,1661.77,6721.77,4985.31,C20015,Priya_0015,Tirunelveli,8.7139,77.7567,SP114,Salesperson_14,Pending,in-store,2023,7,2023-07,6721.77,4985.31,1736.46,0.25833374245176494
S00017,2023-03-19 18:45:00,P1016,Sportswear_016,Sportswear,Blue,XS,1,742.77,502.72,742.77,502.72,C20016,Bhuvana_0016,Coimbatore,11.0168,76.9558,SP109,Salesperson_9,Pending,in-store,2023,3,2023-03,742.77,502.72,240.04999999999995,0.3231821425205649
S00018,2023-01-27 18:06:00,P1017,Kurta_017,Kurta,Blue,L,2,448.15,273.12,896.3,546.24,C20017,Priya_0017,Vellore,12.9165,79.1325,SP133,Salesperson_33,Returned,in-store,2023,1,2023-01,896.3,546.24,350.05999999999995,0.39056119602811556
S00019,2024-02-18 13:30:00,P1018,Men's_018,Men's Shirts,Blue,XXL,3,520.46,406.65,1561.38,1219.95,C20018,Ganesh_0018,Salem,11.6643,78.146,SP149,Salesperson_49,Returned,mobile_app,2024,2,2024-02,1561.38,1219.95,341.43000000000006,0.2186719440494947
S00020,2023-12-17 12:56:00,P1019,Women's_019,Women's Dresses,White,L,4,866.43,561.76,3465.72,2247.04,C20019,Kavin_0019,Vellore,12.9165,79.1325,SP100,Salesperson_0,Returned,in-store,2023,12,2023-12,3465.72,2247.04,1218.6799999999998,0.35163833200604777
S00021,2024-08-27 19:38:00,P1020,Kid's_020,Kid's Wear,Maroon,XS,3,1250.03,831.94,3750.09,2495.82,C20020,Bhuvana_0020,Salem,11.6643,78.146,SP140,Salesperson_40,Cancelled,in-store,2024,8,2024-08,3750.09,2495.82,1254.27,0.33446397286465124
S00022,2023-09-28 20:19:00,P1021,Jeans_021,Jeans,Green,M,4,2261.01,1572.31,9044.04,6289.24,C20021,Sanjay_0021,Madurai,9.9252,78.1198,SP134,Salesperson_34,Cancelled,mobile_app,2023,9,2023-09,9044.04,6289.24,2754.800000000001,0.30459838744631834
S00023,2023-03-13 12:25:00,P1022,Men's_022,Men's Shirts,Yellow,L,2,1010.91,698.98,2021.82,1397.96,C20022,Aarav_0022,Coimbatore,11.0168,76.9558,SP123,Salesperson_23,Returned,in-store,2023,3,2023-03,2021.82,1397.96,623.8599999999999,0.3085635714356372
S00024,2023-04-18 16:29:00,P1023,Jeans_023,Jeans,Red,S,1,475.69,333.59,475.69,333.59,C20023,Ganesh_0023,Coimbatore,11.0168,76.9558,SP105,Salesperson_5,Shipped,in-store,2023,4,2023-04,475.69,333.59,142.10000000000002,0.29872395888078374
S00025,2024-09-04 13:31:00,P1024,Women's_024,Women's Dresses,Maroon,S,1,1128.82,699.27,1128.82,699.27,C20024,Kavin_0024,Vellore,12.9165,79.1325,SP135,Salesperson_35,Pending,mobile_app,2024,9,2024-09,1128.82,699.27,429.54999999999995,0.3805301110894562
S00026,2023-06-15 12:41:00,P1025,T-Shirts_025,T-Shirts,Maroon,XL,1,892.02,611.44,892.02,611.44,C20025,Priya_0025,Tiruchirappalli,10.7905,78.7047,SP134,Salesperson_34,Pending,in-store,2023,6,2023-06,892.02,611.44,280.5799999999999,0.31454451693908203
S00027,2023-01-24 17:30:00,P1026,T-Shirts_026,T-Shirts,Pink,XXL,3,276.02,194.19,828.06,582.57,C20026,Lakshmi_0026,Tirunelveli,8.7139,77.7567,SP128,Salesperson_28,Cancelled,online,2023,1,2023-01,828.06,582.57,245.4899999999999,0.2964640243460618
S00028,2024-02-17 18:31:00,P1027,Sportswear_027,Sportswear,Blue,S,1,2467.0,1659.35,2467.0,1659.35,C20027,Meena_0027,Coimbatore,11.0168,76.9558,SP121,Salesperson_21,Paid,online,2024,2,2024-02,2467.0,1659.35,807.6500000000001,0.3273814349412242
S00029,2024-03-12 19:14:00,P1028,Jeans_028,Jeans,Black,XS,4,2047.22,1517.17,8188.88,6068.68,C20028,Diya_0028,Chennai,13.0827,80.2707,SP114,Salesperson_14,Paid,in-store,2024,3,2024-03,8188.88,6068.68,2120.2,0.25891208565762347
S00030,2024-10-01 14:48:00,P1029,Men's_029,Men's Shirts,Yellow,XS,1,546.65,411.33,546.65,411.33,C20029,Anu_0029,Tiruchirappalli,10.7905,78.7047,SP117,Salesperson_17,Shipped,in-store,2024,10,2024-10,546.65,411.33,135.32,0.24754413244306228
S00031,2024-03-28 20:19:00,P1030,Jeans_030,Jeans,Maroon,S,2,238.15,179.48,476.3,358.96,C20030,Devi_0030,Vellore,12.9165,79.1325,SP115,Salesperson_15,Shipped,online,2024,3,2024-03,476.3,358.96,117.34000000000003,0.24635733781230323
S00032,2023-05-28 17:10:00,P1031,Kurta_031,Kurta,Black,XS,1,1114.42,841.75,1114.42,841.75,C20031,Diya_0031,Erode,11.34,77.7172,SP122,Salesperson_22,Shipped,online,2023,5,2023-05,1114.42,841.75,272.6700000000001,0.24467435975664475
S00033,2024-06-28 18:44:00,P1032,Kurta_032,Kurta,Grey,XXL,1,2326.8,2008.5,2326.8,2008.5,C20032,Aarav_0032,Coimbatore,11.0168,76.9558,SP103,Salesperson_3,Shipped,online,2024,6,2024-06,2326.8,2008.5,318.3000000000002,0.1367973182052605
S00034,2023-06-17 17:49:00,P1033,Sarees_033,Sarees,Blue,S,1,1388.26,941.59,1388.26,941.59,C20033,Meena_0033,Tiruchirappalli,10.7905,78.7047,SP134,Salesperson_34,Shipped,in-store,2023,6,2023-06,1388.26,941.59,446.66999999999996,0.3217480875340354
S00035,2024-10-09 21:33:00,P1034,Kid's_034,Kid's Wear,Pink,S,1,634.03,433.46,634.03,433.46,C20034,Vishal_0034,Vellore,12.9165,79.1325,SP115,Salesperson_15,Paid,in-store,2024,10,2024-10,634.03,433.46,200.57,0.3163414980363705
S00036,2024-03-31 20:51:00,P1035,Sportswear_035,Sportswear,Maroon,XS,3,1993.71,1580.23,5981.13,4740.69,C20035,Aarav_0035,Chennai,13.0827,80.2707,SP105,Salesperson_5,Pending,in-store,2024,3,2024-03,5981.13,4740.69,1240.4400000000005,0.20739224862191602
S00037,2023-02-24 11:53:00,P1036,Kid's_036,Kid's Wear,Pink,L,2,1535.58,1092.85,3071.16,2185.7,C20036,Ravi_0036,Tiruchirappalli,10.7905,78.7047,SP125,Salesperson_25,Paid,mobile_app,2023,2,2023-02,3071.16,2185.7,885.46,0.2883145130830045
S00038,2024-09-03 21:17:00,P1037,Kid's_037,Kid's Wear,Pink,XS,3,1462.09,1180.74,4386.27,3542.22,C20037,Priya_0037,Salem,11.6643,78.146,SP129,Salesperson_29,Returned,in-store,2024,9,2024-09,4386.27,3542.22,844.0500000000006,0.19243001456818676
S00039,2024-02-28 12:42:00,P1038,Kurta_038,Kurta,Maroon,XXL,1,1335.96,873.25,1335.96,873.25,C20038,Devi_0038,Vellore,12.9165,79.1325,SP109,Salesperson_9,Pending,mobile_app,2024,2,2024-02,1335.96,873.25,462.71000000000004,0.3463501901254529
S00040,2023-08-27 18:43:00,P1039,T-Shirts_039,T-Shirts,Black,XS,1,1447.84,1089.71,1447.84,1089.71,C20039,Sathish_0039,Chennai,13.0827,80.2707,SP147,Salesperson_47,Returned,in-store,2023,8,2023-08,1447.84,1089.71,358.1299999999999,0.24735468007514635
S00041,2024-02-18 13:35:00,P1040,Men's_040,Men's Shirts,Red,XL,3,1104.12,957.95,3312.36,2873.85,C20040,Ravi_0040,Madurai,9.9252,78.1198,SP103,Salesperson_3,Cancelled,in-store,2024,2,2024-02,3312.36,2873.85,438.5100000000002,0.1323859725392168
S00042,2024-02-15 19:30:00,P1041,Women's_041,Women's Dresses,Green,XS,2,1738.53,1493.83,3477.06,2987.66,C20041,Sathish_0041,Coimbatore,11.0168,76.9558,SP143,Salesperson_43,Pending,online,2024,2,2024-02,3477.06,2987.66,489.4000000000001,0.14075109431531238
S00043,2023-05-30 15:34:00,P1042,Kurta_042,Kurta,Blue,XL,1,300.29,269.77,300.29,269.77,C20042,Meena_0042,Chennai,13.0827,80.2707,SP139,Salesperson_39,Paid,in-store,2023,5,2023-05,300.29,269.77,30.52000000000004,0.10163508608345279
S00044,2023-11-02 13:53:00,P1043,Kurta_043,Kurta,Maroon,M,2,235.55,206.93,471.1,413.86,C20043,Ganesh_0043,Salem,11.6643,78.146,SP113,Salesperson_13,Returned,online,2023,11,2023-11,471.1,413.86,57.24000000000001,0.12150286563362345
S00045,2023-10-06 21:57:00,P1044,Jeans_044,Jeans,White,L,1,373.3,258.22,373.3,258.22,C20044,Kavin_0044,Salem,11.6643,78.146,SP129,Salesperson_29,Returned,mobile_app,2023,10,2023-10,373.3,258.22,115.07999999999998,0.30827752477899806
S00046,2023-05-05 13:29:00,P1045,Women's_045,Women's Dresses,Red,L,1,1480.64,1304.22,1480.64,1304.22,C20045,Sathish_0045,Coimbatore,11.0168,76.9558,SP104,Salesperson_4,Cancelled,mobile_app,2023,5,2023-05,1480.64,1304.22,176.42000000000007,0.11915117786902965
